id,category,technique_name,description,emergency_services_applications,bombeiros_applications,protecao_civil_applications,flow_integration
1,Emergency Protocol,Incident Command SCAMPER,"Substitute, Combine, Adapt, Modify, Put to Another Use, Eliminate, Reverse applied to incident command decisions","Analyze equipment substitution, multi-agency combination, tactic adaptation, protocol modifications, equipment repurposing, response chain delays, and counterfactual escalation scenarios","Fireground decisions on apparatus and personnel; rescue operations tactics; hazmat response protocols","Multi-agency coordination strategies; resource mobilization patterns; public communication improvements","step-03-technique-execution"
2,Emergency Protocol,Rapid After Action Review (AAR),"Structured debrief technique extracting lessons from incidents within 24-48 hours: timeline, causal analysis, preserve/improve actions, immediate/long-term changes","Fireground decisions review; rescue operations analysis; hazmat response debriefs; operational improvements","Multi-agency coordination assessment; resource mobilization evaluation; public communication effectiveness","step-04-idea-organization"
3,Emergency Protocol,What-If Scenario Planning,"Explore hypothetical emergency scenarios: compound events, backup scenarios, communication resilience, capacity planning","Wildfire + earthquake + power outage scenarios; major fire during mass gathering; extended operations","Compound disaster scenarios; cascading failure planning; resource depletion contingencies","step-02b-ai-recommended"
4,Emergency Protocol,Chain of Command Mapping,"Visualize decision-making pathways and authority structures during emergencies using ICS template","Fireground command hierarchy; tactical operations division; logistics coordination; planning section integration","Emergency Operations Center structure; multi-agency command relationships; strategic resource allocation","step-02c-random-selection"
5,Emergency Protocol,Resource Flow Analysis,"Track resource movement and allocation during emergency response: bottlenecks, inter-agency flow, information accompaniment","Apparatus deployment; personnel tracking; water supply management; foam and tool logistics","Shelter operations; medical supply distribution; transport coordination; food logistics; shared resources","step-03-technique-execution"
6,Response Optimization,Time-Critical Decision Tree,"Map critical decision points with time constraints: 0-5min size-up, 5-15min strategic, 15+min tactical","Fire attack decisions; rescue prioritization; hazmat containment; defensive vs offensive operations","Mass casualty triage; evacuation orders; shelter activation; resource request protocols","step-03-technique-execution"
7,Response Optimization,Response Time Decomposition,"Break down total response time: alarm-to-dispatch, dispatch-to-enroute, enroute-to-arrival, setup, intervention","Station placement optimization; turnout time reduction; travel route planning; pre-positioning strategies","Dispatch center efficiency; staging area placement; mutual aid activation timing; shelter setup procedures","step-04-idea-organization"
8,Response Optimization,Mutual Aid Pathways,"Design inter-agency cooperation mechanisms: trigger conditions, resource types, request process, command structure, cost recovery","Automatic aid agreements; requested operational aid; administrative approval pathways; disaster declaration procedures","Regional coordination; national resource requests; cross-jurisdiction assistance; specialized team deployment","step-03-technique-execution"
9,Response Optimization,Pre-Positioning Strategy,"Determine optimal resource placement for rapid deployment: risk mapping, historical analysis, population exposure, infrastructure assessment","Fire station positioning; water tender staging; rural water supply points; wildfire response caches","Emergency shelter pre-positioning; medical supply caches; transport staging; communication equipment placement","step-02a-user-selected"
10,Citizen Engagement,Public Alert Empathy Map,"Understand how citizens receive, interpret, and respond to emergency alerts: trust in source, action clarity, severity understanding, information overload","Alert message design for fires; evacuation order communication; shelter-in-place messaging; warning system effectiveness","Multi-hazard alert design; warning message accessibility; multi-language emergency notifications; public information campaigns","step-03-technique-execution"
11,Citizen Engagement,Vulnerable Population Journey,"Map emergency experience for elderly, disabled, non-Portuguese speakers, isolated populations across alert-assess-decide-action-recovery phases","Accessible alert systems for hearing/vision impaired; mobility challenged evacuation; cognitive support needs during fires","Special needs registry coordination; transportation for disabled; language translation services; rural isolated population outreach","step-04-idea-organization"
12,Citizen Engagement,Community Resilience Mapping,"Identify and strengthen community capacity for self-response: CERT programs, neighborhood networks, volunteer organizations, gaps analysis","Community fire watch programs; neighborhood emergency response teams; volunteer fire auxiliary; business preparedness partnerships","Community emergency planning; volunteer coordination; faith-based network integration; youth engagement programs","step-02a-user-selected"
